facility_code,facility_name,latitude,longitude,date,pm2_5,pm10,dust,nitrogen_dioxide,ozone,sulphur_dioxide,carbon_monoxide,uv_index,uv_index_clear_sky,ingest_mode,ingest_timestamp,air_timestamp,air_date
AVLSF,Avonlie,-34.919115,146.60954,2025-01-01T00:00,1.1,1.4,0.0,4.4,44.0,0.2,92.0,0.0,0.0,incremental,2026-01-28T12:52:46.163Z,2025-01-01T00:00:00.000Z,2025-01-01
AVLSF,Avonlie,-34.919115,146.60954,2025-01-01T01:00,1.2,1.5,0.0,4.8,42.0,0.3,95.0,0.0,0.0,incremental,2026-01-28T12:52:46.163Z,2025-01-01T01:00:00.000Z,2025-01-01
AVLSF,Avonlie,-34.919115,146.60954,2025-01-01T02:00,1.2,1.5,0.0,4.4,42.0,0.6,96.0,0.0,0.0,incremental,2026-01-28T12:52:46.163Z,2025-01-01T02:00:00.000Z,2025-01-01
AVLSF,Avonlie,-34.919115,146.60954,2025-01-01T03:00,2.0,2.1,0.0,3.6,43.0,0.9,96.0,0.0,0.0,incremental,2026-01-28T12:52:46.163Z,2025-01-01T03:00:00.000Z,2025-01-01
AVLSF,Avonlie,-34.919115,146.60954,2025-01-01T04:00,5.0,5.1,0.0,2.9,45.0,1.4,97.0,0.0,0.0,incremental,2026-01-28T12:52:46.163Z,2025-01-01T04:00:00.000Z,2025-01-01
AVLSF,Avonlie,-34.919115,146.60954,2025-01-01T05:00,8.4,8.6,0.0,2.5,47.0,2.1,102.0,0.0,0.0,incremental,2026-01-28T12:52:46.163Z,2025-01-01T05:00:00.000Z,2025-01-01
AVLSF,Avonlie,-34.919115,146.60954,2025-01-01T06:00,10.0,10.1,0.0,2.2,51.0,2.8,107.0,0.35,0.35,incremental,2026-01-28T12:52:46.163Z,2025-01-01T06:00:00.000Z,2025-01-01
AVLSF,Avonlie,-34.919115,146.60954,2025-01-01T07:00,9.6,9.7,0.0,1.8,55.0,3.1,110.0,1.4,1.4,incremental,2026-01-28T12:52:46.163Z,2025-01-01T07:00:00.000Z,2025-01-01
AVLSF,Avonlie,-34.919115,146.60954,2025-01-01T08:00,7.3,7.3,0.0,1.3,61.0,2.4,106.0,3.55,3.55,incremental,2026-01-28T12:52:46.163Z,2025-01-01T08:00:00.000Z,2025-01-01
AVLSF,Avonlie,-34.919115,146.60954,2025-01-01T09:00,3.6,3.7,0.0,0.8,69.0,1.3,99.0,6.6,6.6,incremental,2026-01-28T12:52:46.163Z,2025-01-01T09:00:00.000Z,2025-01-01
AVLSF,Avonlie,-34.919115,146.60954,2025-01-01T10:00,0.1,0.1,0.0,0.5,77.0,0.4,93.0,9.75,9.75,incremental,2026-01-28T12:52:46.163Z,2025-01-01T10:00:00.000Z,2025-01-01
AVLSF,Avonlie,-34.919115,146.60954,2025-01-01T11:00,0.5,0.6,0.0,0.4,79.0,0.4,89.0,12.25,12.25,incremental,2026-01-28T12:52:46.163Z,2025-01-01T11:00:00.000Z,2025-01-01
AVLSF,Avonlie,-34.919115,146.60954,2025-01-01T12:00,0.4,0.5,0.0,0.4,82.0,0.4,87.0,13.25,13.25,incremental,2026-01-28T12:52:46.163Z,2025-01-01T12:00:00.000Z,2025-01-01
AVLSF,Avonlie,-34.919115,146.60954,2025-01-01T13:00,0.6,0.6,0.0,0.3,83.0,0.4,85.0,12.45,12.45,incremental,2026-01-28T12:52:46.163Z,2025-01-01T13:00:00.000Z,2025-01-01
AVLSF,Avonlie,-34.919115,146.60954,2025-01-01T14:00,0.9,0.9,0.0,0.3,82.0,0.5,84.0,10.25,10.25,incremental,2026-01-28T12:52:46.163Z,2025-01-01T14:00:00.000Z,2025-01-01
