network_code,network_id,network_region,facility_code,facility_name,unit_code,metric,interval,value_unit,interval_start,value,ingest_mode,ingest_timestamp,interval_ts,interval_date
NEM,NEM,NSW1,WRSF1,White Rock Solar Farm,WRSF1,energy,1h,MWh,2025-01-01T10:00:00+10:00,0.0,backfill,2026-01-28T12:51:47.353Z,2025-01-01T00:00:00.000Z,2025-01-01
NEM,NEM,NSW1,WRSF1,White Rock Solar Farm,WRSF1,energy,1h,MWh,2025-01-01T11:00:00+10:00,0.0,backfill,2026-01-28T12:51:47.353Z,2025-01-01T01:00:00.000Z,2025-01-01
NEM,NEM,NSW1,WRSF1,White Rock Solar Farm,WRSF1,energy,1h,MWh,2025-01-01T12:00:00+10:00,0.0,backfill,2026-01-28T12:51:47.353Z,2025-01-01T02:00:00.000Z,2025-01-01
NEM,NEM,NSW1,WRSF1,White Rock Solar Farm,WRSF1,energy,1h,MWh,2025-01-01T13:00:00+10:00,0.0,backfill,2026-01-28T12:51:47.353Z,2025-01-01T03:00:00.000Z,2025-01-01
NEM,NEM,NSW1,WRSF1,White Rock Solar Farm,WRSF1,energy,1h,MWh,2025-01-01T14:00:00+10:00,0.0,backfill,2026-01-28T12:51:47.353Z,2025-01-01T04:00:00.000Z,2025-01-01
NEM,NEM,NSW1,WRSF1,White Rock Solar Farm,WRSF1,energy,1h,MWh,2025-01-01T15:00:00+10:00,0.0,backfill,2026-01-28T12:51:47.353Z,2025-01-01T05:00:00.000Z,2025-01-01
NEM,NEM,NSW1,WRSF1,White Rock Solar Farm,WRSF1,energy,1h,MWh,2025-01-01T16:00:00+10:00,0.0,backfill,2026-01-28T12:51:47.353Z,2025-01-01T06:00:00.000Z,2025-01-01
NEM,NEM,NSW1,WRSF1,White Rock Solar Farm,WRSF1,energy,1h,MWh,2025-01-01T17:00:00+10:00,0.0,backfill,2026-01-28T12:51:47.353Z,2025-01-01T07:00:00.000Z,2025-01-01
NEM,NEM,NSW1,WRSF1,White Rock Solar Farm,WRSF1,energy,1h,MWh,2025-01-01T18:00:00+10:00,0.0,backfill,2026-01-28T12:51:47.353Z,2025-01-01T08:00:00.000Z,2025-01-01
NEM,NEM,NSW1,WRSF1,White Rock Solar Farm,WRSF1,energy,1h,MWh,2025-01-01T19:00:00+10:00,0.0,backfill,2026-01-28T12:51:47.353Z,2025-01-01T09:00:00.000Z,2025-01-01
NEM,NEM,NSW1,WRSF1,White Rock Solar Farm,WRSF1,energy,1h,MWh,2025-01-01T20:00:00+10:00,0.0,backfill,2026-01-28T12:51:47.353Z,2025-01-01T10:00:00.000Z,2025-01-01
NEM,NEM,NSW1,WRSF1,White Rock Solar Farm,WRSF1,energy,1h,MWh,2025-01-01T21:00:00+10:00,0.0,backfill,2026-01-28T12:51:47.353Z,2025-01-01T11:00:00.000Z,2025-01-01
NEM,NEM,NSW1,WRSF1,White Rock Solar Farm,WRSF1,energy,1h,MWh,2025-01-01T22:00:00+10:00,0.0,backfill,2026-01-28T12:51:47.353Z,2025-01-01T12:00:00.000Z,2025-01-01
NEM,NEM,NSW1,WRSF1,White Rock Solar Farm,WRSF1,energy,1h,MWh,2025-01-01T23:00:00+10:00,0.0,backfill,2026-01-28T12:51:47.353Z,2025-01-01T13:00:00.000Z,2025-01-01
NEM,NEM,NSW1,WRSF1,White Rock Solar Farm,WRSF1,energy,1h,MWh,2025-01-02T00:00:00+10:00,0.0,backfill,2026-01-28T12:51:47.353Z,2025-01-01T14:00:00.000Z,2025-01-01
NEM,NEM,NSW1,WRSF1,White Rock Solar Farm,WRSF1,energy,1h,MWh,2025-01-02T01:00:00+10:00,0.0,backfill,2026-01-28T12:51:47.353Z,2025-01-01T15:00:00.000Z,2025-01-01
