facility_code,facility_name,latitude,longitude,date,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,terrestrial_radiation,temperature_2m,dew_point_2m,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,precipitation,is_day,sunshine_duration,total_column_integrated_water_vapour,boundary_layer_height,wind_gusts_10m,wet_bulb_temperature_2m,wind_speed_10m,wind_direction_10m,pressure_msl,ingest_mode,ingest_timestamp,weather_timestamp,weather_date
AVLSF,Avonlie,-34.919115,146.60954,2025-01-01T00:00,0.0,0.0,0.0,0.0,0.0,21.7,4.1,0,0,0,0,0.0,0,0.0,12.9,30.0,5.4,12.3,4.2,258,1011.6,incremental,2026-01-28T12:52:14.522Z,2025-01-01T00:00:00.000Z,2025-01-01
AVLSF,Avonlie,-34.919115,146.60954,2025-01-01T01:00,0.0,0.0,0.0,0.0,0.0,21.1,4.8,0,0,0,0,0.0,0,0.0,13.0,20.0,6.8,12.4,3.5,261,1011.2,incremental,2026-01-28T12:52:14.522Z,2025-01-01T01:00:00.000Z,2025-01-01
AVLSF,Avonlie,-34.919115,146.60954,2025-01-01T02:00,0.0,0.0,0.0,0.0,0.0,20.8,4.8,0,0,0,0,0.0,0,0.0,12.8,15.0,4.3,12.2,2.2,145,1010.7,incremental,2026-01-28T12:52:14.522Z,2025-01-01T02:00:00.000Z,2025-01-01
AVLSF,Avonlie,-34.919115,146.60954,2025-01-01T03:00,0.0,0.0,0.0,0.0,0.0,18.9,3.8,0,0,0,0,0.0,0,0.0,12.9,65.0,11.9,11.0,7.3,101,1011.1,incremental,2026-01-28T12:52:14.522Z,2025-01-01T03:00:00.000Z,2025-01-01
AVLSF,Avonlie,-34.919115,146.60954,2025-01-01T04:00,0.0,0.0,0.0,0.0,0.0,18.0,5.3,0,0,0,0,0.0,0,0.0,14.3,80.0,13.0,11.1,8.3,46,1011.0,incremental,2026-01-28T12:52:14.522Z,2025-01-01T04:00:00.000Z,2025-01-01
AVLSF,Avonlie,-34.919115,146.60954,2025-01-01T05:00,0.0,0.0,0.0,0.0,0.0,17.6,10.1,0,0,0,0,0.0,0,0.0,15.9,120.0,18.0,13.1,10.7,48,1011.3,incremental,2026-01-28T12:52:14.522Z,2025-01-01T05:00:00.000Z,2025-01-01
AVLSF,Avonlie,-34.919115,146.60954,2025-01-01T06:00,42.0,20.0,22.0,166.2,107.7,18.5,12.5,0,0,0,0,0.0,1,1557.19,15.9,130.0,17.6,14.7,10.8,37,1011.7,incremental,2026-01-28T12:52:14.522Z,2025-01-01T06:00:00.000Z,2025-01-01
AVLSF,Avonlie,-34.919115,146.60954,2025-01-01T07:00,212.0,144.0,68.0,539.8,377.4,21.2,13.1,0,0,0,0,0.0,1,3600.0,15.5,170.0,18.0,16.1,8.3,34,1012.2,incremental,2026-01-28T12:52:14.522Z,2025-01-01T07:00:00.000Z,2025-01-01
AVLSF,Avonlie,-34.919115,146.60954,2025-01-01T08:00,427.0,334.0,93.0,726.5,650.3,24.9,10.6,0,0,0,0,0.0,1,3600.0,15.1,250.0,18.4,16.4,7.1,9,1012.3,incremental,2026-01-28T12:52:14.522Z,2025-01-01T08:00:00.000Z,2025-01-01
AVLSF,Avonlie,-34.919115,146.60954,2025-01-01T09:00,639.0,530.0,109.0,832.5,900.5,28.7,6.6,0,0,0,0,0.0,1,3600.0,14.7,805.0,21.6,16.2,8.9,322,1012.0,incremental,2026-01-28T12:52:14.522Z,2025-01-01T09:00:00.000Z,2025-01-01
AVLSF,Avonlie,-34.919115,146.60954,2025-01-01T10:00,824.0,703.0,121.0,895.1,1110.9,31.0,3.0,0,0,0,0,0.0,1,3600.0,14.2,2765.0,29.5,15.7,13.0,307,1011.6,incremental,2026-01-28T12:52:14.522Z,2025-01-01T10:00:00.000Z,2025-01-01
