facility_code,facility_name,timestamp,date_hour,date,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,temperature_2m,dew_point_2m,wet_bulb_temperature_2m,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,precipitation,sunshine_duration,total_column_integrated_water_vapour,wind_speed_10m,wind_direction_10m,wind_gusts_10m,pressure_msl,is_valid,quality_flag,quality_issues,created_at,updated_at
AVLSF,Avonlie,2025-01-01T08:00:00.000Z,2025-01-01T08:00:00.000Z,2025-01-01,427.0,334.0,93.0,726.5,24.9,10.6,16.4,0,0,0,0,0.0,3600.0,15.1,7.1,9,18.4,1012.3,true,GOOD,"",2026-01-26T15:29:34.443Z,2026-01-26T15:29:34.443Z
BOMENSF,Bomen,2025-01-01T08:00:00.000Z,2025-01-01T08:00:00.000Z,2025-01-01,441.0,348.0,93.0,739.7,24.5,14.1,17.9,0,0,0,0,0.0,3600.0,17.0,9.0,30,25.2,1012.6,true,GOOD,"",2026-01-26T15:29:34.443Z,2026-01-26T15:29:34.443Z
DARLSF,Darlington Point,2025-01-01T08:00:00.000Z,2025-01-01T08:00:00.000Z,2025-01-01,424.0,337.0,87.0,747.0,25.5,5.6,14.6,0,0,0,0,0.0,3600.0,14.1,7.6,306,18.7,1012.4,true,GOOD,"",2026-01-26T15:29:34.443Z,2026-01-26T15:29:34.443Z
EMERASF,Emerald,2025-01-01T08:00:00.000Z,2025-01-01T08:00:00.000Z,2025-01-01,369.0,279.0,90.0,632.5,26.5,21.0,22.6,98,13,2,98,0.1,3600.0,44.2,8.7,48,23.4,1011.7,true,GOOD,"",2026-01-26T15:29:34.443Z,2026-01-26T15:29:34.443Z
FINLEYSF,Finley,2025-01-01T08:00:00.000Z,2025-01-01T08:00:00.000Z,2025-01-01,412.0,320.0,92.0,715.4,22.5,11.4,15.7,0,0,0,0,0.0,3600.0,16.5,10.1,185,24.1,1013.1,true,GOOD,"",2026-01-26T15:29:34.443Z,2026-01-26T15:29:34.443Z
LIMOSF2,Limondale 2,2025-01-01T08:00:00.000Z,2025-01-01T08:00:00.000Z,2025-01-01,399.0,316.0,83.0,752.0,21.9,10.9,15.2,0,0,0,0,0.0,3600.0,14.2,14.5,202,29.9,1014.5,true,GOOD,"",2026-01-26T15:29:34.443Z,2026-01-26T15:29:34.443Z
WRSF1,White Rock Solar Farm,2025-01-01T08:00:00.000Z,2025-01-01T08:00:00.000Z,2025-01-01,442.0,274.0,168.0,539.4,17.5,13.5,14.8,98,42,50,95,0.0,3600.0,27.9,14.6,91,31.0,1016.2,true,GOOD,"",2026-01-26T15:29:34.443Z,2026-01-26T15:29:34.443Z
YATSF1,Yatpool,2025-01-01T08:00:00.000Z,2025-01-01T08:00:00.000Z,2025-01-01,380.0,299.0,81.0,744.3,20.1,10.8,14.5,0,0,0,0,0.0,3600.0,14.1,17.7,204,34.9,1016.2,true,GOOD,"",2026-01-26T15:29:34.443Z,2026-01-26T15:29:34.443Z
AVLSF,Avonlie,2025-01-07T14:00:00.000Z,2025-01-07T14:00:00.000Z,2025-01-07,829.0,627.0,202.0,668.1,25.0,14.6,18.4,82,39,58,55,0.6,3600.0,28.0,16.6,109,39.6,1017.2,true,GOOD,"",2026-01-26T15:29:34.443Z,2026-01-26T15:29:34.443Z
BOMENSF,Bomen,2025-01-07T14:00:00.000Z,2025-01-07T14:00:00.000Z,2025-01-07,715.0,385.0,330.0,411.9,27.2,13.7,18.8,59,1,25,46,0.0,3600.0,28.9,11.5,76,32.8,1016.8,true,GOOD,"",2026-01-26T15:29:34.443Z,2026-01-26T15:29:34.443Z
DARLSF,Darlington Point,2025-01-07T14:00:00.000Z,2025-01-07T14:00:00.000Z,2025-01-07,794.0,521.0,273.0,553.1,28.6,15.5,20.2,54,12,46,4,0.1,3600.0,28.4,8.7,140,25.6,1015.8,true,GOOD,"",2026-01-26T15:29:34.443Z,2026-01-26T15:29:34.443Z
EMERASF,Emerald,2025-01-07T14:00:00.000Z,2025-01-07T14:00:00.000Z,2025-01-07,966.0,805.0,161.0,846.7,34.8,13.3,21.3,11,3,10,0,0.0,3600.0,24.8,10.2,99,29.5,1011.5,true,GOOD,"",2026-01-26T15:29:34.443Z,2026-01-26T15:29:34.443Z
FINLEYSF,Finley,2025-01-07T14:00:00.000Z,2025-01-07T14:00:00.000Z,2025-01-07,788.0,542.0,246.0,576.4,28.5,14.0,19.4,25,12,15,1,0.0,3600.0,26.0,11.0,128,27.4,1016.7,true,GOOD,"",2026-01-26T15:29:34.443Z,2026-01-26T15:29:34.443Z
LIMOSF2,Limondale 2,2025-01-07T14:00:00.000Z,2025-01-07T14:00:00.000Z,2025-01-07,1038.0,917.0,121.0,964.9,27.2,10.9,17.5,0,0,0,0,0.0,3600.0,17.5,13.6,169,32.8,1017.1,true,GOOD,"",2026-01-26T15:29:34.443Z,2026-01-26T15:29:34.443Z
WRSF1,White Rock Solar Farm,2025-01-07T14:00:00.000Z,2025-01-07T14:00:00.000Z,2025-01-07,587.0,190.0,397.0,204.7,21.0,14.9,17.0,99,7,71,96,1.6,3600.0,31.0,16.5,233,35.6,1016.9,false,WARNING,|CLOUD_MEASUREMENT_INCONSISTENCY,2026-01-26T15:29:34.443Z,2026-01-26T15:29:34.443Z
YATSF1,Yatpool,2025-01-07T14:00:00.000Z,2025-01-07T14:00:00.000Z,2025-01-07,1072.0,952.0,120.0,996.0,26.5,5.8,15.1,0,0,0,0,0.0,3600.0,10.8,17.6,174,38.5,1018.0,true,GOOD,"",2026-01-26T15:29:34.443Z,2026-01-26T15:29:34.443Z
AVLSF,Avonlie,2025-01-05T15:00:00.000Z,2025-01-05T15:00:00.000Z,2025-01-05,620.0,373.0,247.0,436.6,37.6,7.2,19.5,32,0,28,10,0.0,3600.0,29.3,20.5,302,40.0,1011.0,true,GOOD,"",2026-01-26T15:29:34.443Z,2026-01-26T15:29:34.443Z
BOMENSF,Bomen,2025-01-05T15:00:00.000Z,2025-01-05T15:00:00.000Z,2025-01-05,513.0,220.0,293.0,259.4,36.0,7.3,19.0,100,0,100,93,0.0,3600.0,29.6,14.4,313,34.2,1011.5,true,GOOD,"",2026-01-26T15:29:34.443Z,2026-01-26T15:29:34.443Z
DARLSF,Darlington Point,2025-01-05T15:00:00.000Z,2025-01-05T15:00:00.000Z,2025-01-05,604.0,390.0,214.0,453.8,37.0,8.3,19.8,24,0,20,7,0.0,3600.0,31.1,18.1,311,38.9,1011.1,true,GOOD,"",2026-01-26T15:29:34.443Z,2026-01-26T15:29:34.443Z
EMERASF,Emerald,2025-01-05T15:00:00.000Z,2025-01-05T15:00:00.000Z,2025-01-05,897.0,793.0,104.0,932.4,33.5,13.6,21.0,2,0,2,0,0.0,3600.0,24.6,14.6,95,37.4,1012.1,true,GOOD,"",2026-01-26T15:29:34.443Z,2026-01-26T15:29:34.443Z
FINLEYSF,Finley,2025-01-05T15:00:00.000Z,2025-01-05T15:00:00.000Z,2025-01-05,706.0,411.0,295.0,477.5,37.8,6.2,19.2,49,0,9,44,0.0,3600.0,27.3,21.7,343,44.3,1010.1,true,GOOD,"",2026-01-26T15:29:34.443Z,2026-01-26T15:29:34.443Z
LIMOSF2,Limondale 2,2025-01-05T15:00:00.000Z,2025-01-05T15:00:00.000Z,2025-01-05,785.0,563.0,222.0,642.7,39.5,7.6,20.2,85,0,69,54,0.0,3600.0,30.7,21.0,335,46.8,1008.8,true,GOOD,"",2026-01-26T15:29:34.443Z,2026-01-26T15:29:34.443Z
WRSF1,White Rock Solar Farm,2025-01-05T15:00:00.000Z,2025-01-05T15:00:00.000Z,2025-01-05,913.0,823.0,90.0,1000.2,26.1,5.2,14.6,0,0,0,0,0.0,3600.0,11.0,12.8,140,29.2,1016.1,true,GOOD,"",2026-01-26T15:29:34.443Z,2026-01-26T15:29:34.443Z
YATSF1,Yatpool,2025-01-05T15:00:00.000Z,2025-01-05T15:00:00.000Z,2025-01-05,757.0,433.0,324.0,489.0,40.2,5.3,19.6,81,0,79,11,0.0,3600.0,28.6,16.2,278,46.1,1008.3,true,GOOD,"",2026-01-26T15:29:34.443Z,2026-01-26T15:29:34.443Z
AVLSF,Avonlie,2025-01-05T08:00:00.000Z,2025-01-05T08:00:00.000Z,2025-01-05,198.0,57.0,141.0,126.4,29.0,11.6,18.5,63,0,62,4,0.0,1990.69,28.0,10.3,356,19.8,1014.5,true,GOOD,"",2026-01-26T15:29:34.443Z,2026-01-26T15:29:34.443Z
BOMENSF,Bomen,2025-01-05T08:00:00.000Z,2025-01-05T08:00:00.000Z,2025-01-05,360.0,202.0,158.0,437.4,27.4,12.1,18.1,64,0,63,3,0.0,3600.0,28.3,11.4,41,24.8,1015.7,true,GOOD,"",2026-01-26T15:29:34.443Z,2026-01-26T15:29:34.443Z
