facility_code,facility_name,network_id,network_region,location_lat,location_lng,total_capacity_mw,unit_count,unit_codes
ADP,Adelaide Desalination,NEM,SA1,,,,3,"ADPPV1,ADPPV3,ADPPV2"
ALDGASF,Aldoga,NEM,QLD1,,,,1,ALDGASF1
AVLSF,Avonlie,NEM,NSW1,,,,1,AVLSF1
BAKING,Baking Board,NEM,QLD1,,,,1,BAKING1
BANNSP,Bannerton,NEM,VIC1,,,,1,BANN1
BARCSF,Barcaldine,NEM,QLD1,,,,1,BARCSF1
BERYLSF,Beryl,NEM,NSW1,,,,1,BERYLSF1
BLUEGSF,Blue Grass,NEM,QLD1,,,,1,BLUEGSF1
BOLIVAR,Bolivar,NEM,SA1,,,,1,BOWWPV1
BOMENSF,Bomen,NEM,NSW1,,,,1,BOMENSF1
BROKENH,Broken Hill,NEM,NSW1,,,,1,BROKENH1
BNGSF1,Bungala One,NEM,SA1,,,,1,BNGSF1
BNGSF2,Bungala Two,NEM,SA1,,,,1,BNGSF2
CESF,Capital East,NEM,NSW1,,,,1,CESF1
CHILDSF,Childers,NEM,QLD1,,,,1,CHILDSF1
CBWWBA,Christies Beach,NEM,SA1,,,,2,"CBWWPV1,CBWWPV2"
CLARESF,Clare,NEM,QLD1,,,,1,CLARESF1
CLERMSF,Clermont,NEM,QLD1,,,,1,CLERMSF1
COHUNSF1,Cohuna,NEM,VIC1,,,,1,COHUNSF1
COLEASF,Coleambally,NEM,NSW1,,,,1,COLEASF1
CSPVPS,Collinsville,NEM,QLD1,,,,1,CSPVPS1
COLUMSF,Columboola,NEM,QLD1,,,,1,COLUMSF1
CRWASF1,Corowa,NEM,NSW1,,,,1,CRWASF1
CULCSF,Culcairn,NEM,NSW1,,,,1,CUSF1
DDSF,Darling Downs,NEM,QLD1,,,,1,DDSF1
DARLSF,Darlington Point,NEM,NSW1,,,,1,DARLSF1
DAYDSF,Daydream,NEM,QLD1,,,,1,DAYDSF1
EDENVSF,Edenvale,NEM,QLD1,,,,1,EDENVSF1
EMERASF,Emerald,NEM,QLD1,,,,1,EMERASF1
FINLEYSF,Finley,NEM,NSW1,,,,1,FINLYSF1
GANGARR,Gangarri,NEM,QLD1,,,,1,GANGARR1
GANNSF,Gannawarra,NEM,VIC1,,,,1,GANNSF1
GIRGSF,Girgarre,NEM,VIC1,,,,1,GIRGSF
GLENSF,Glenrowan,NEM,VIC1,,,,1,GLENSF1
GLRWNSF,Glenrowan West,NEM,VIC1,,,,1,GLRWNSF1
GOONUMSF,Goonumbla,NEM,NSW1,,,,1,GOONSF1
GOESF1,Goorambat East,NEM,VIC1,,,,1,GOESF1
GRIFSF,Griffith,NEM,NSW1,,,,1,GRIFSF1
GULLRGWF,Gullen Range,NEM,NSW1,,,,1,GULLRSF1
GNNDHSF,Gunnedah,NEM,NSW1,,,,1,GNNDHSF1
HAMISF,Hamilton,NEM,QLD1,,,,1,HAMISF1
HVWW,Happy Valley,NEM,SA1,,,,1,HVWWPV1
HAUGHT1,Haughton,NEM,QLD1,,,,1,HAUGHT11
HAYMSF,Hayman,NEM,QLD1,,,,1,HAYMSF1
HILLSTN,Hillston Sun,NEM,NSW1,,,,1,HILLSTN1
HUGSF,Hughenden,NEM,QLD1,,,,1,HUGSF1
JEMALNG1,Jemalong,NEM,NSW1,,,,1,JEMALNG1
JUNEESF,Junee,NEM,NSW1,,,,1,JUNEESF1
KARSF,Karadoc,NEM,VIC1,,,,1,KARSF1
KENNEDY,Kennedy Energy Park,NEM,QLD1,,,,1,KEPSF1
KERNGSP,Kerang,NEM,VIC1,,,,1,KERNGSP1
KIAMSF1,Kiamal,NEM,VIC1,,,,1,KIAMSF1
KSP1,Kidston,NEM,QLD1,,,,1,KSP1
KINGASF,Kingaroy,NEM,QLD1,,,,1,KINGASF1
LILYVASF,Lilyvale,NEM,QLD1,,,,1,LILYSF1
LIMOSF1,Limondale,NEM,NSW1,,,,1,LIMOSF11
LIMOSF2,Limondale 2,NEM,NSW1,,,,1,LIMOSF21
LRSF,Longreach,NEM,QLD1,,,,1,LRSF1
MANSLR,Manildra,NEM,NSW1,,,,1,MANSLR1
MANNSF,Mannum 2,NEM,SA1,,,,1,MANNSF2
MAPS2,Mannum Pumping Station,NEM,SA1,,,,2,"MAPS3PV1,MAPS2PV1"
MARYRSF,Maryrorough,NEM,QLD1,,,,1,MARYRSF1
METZSF,Metz N,NEM,NSW1,,,,1,METZSF1
MIDDLSF1,Middlemount,NEM,QLD1,,,,1,MIDDLSF1
MOKOSF,Mokoan,NEM,VIC1,,,,1,MOKOSF1
MOLNGSF1,Molong,NEM,NSW1,,,,1,MOLNGSF1
MOREESF,Moree,NEM,NSW1,,,,1,MOREESF1
MWPS,Morganwhyalla Pipeline,NEM,SA1,,,,4,"MWPS1PV1,MWPS2PV1,MWPS3PV1,MWPS4PV1"
MOUSF,Moura,NEM,QLD1,,,,1,MOUSF1
MLSP,Mugga Lane,NEM,NSW1,,,,1,MLSP1
MUCRKSF,Munna Creek,NEM,QLD1,,,,1,MUCRKSF1
MBPS2,Murray Bridge-Onkaparinga,NEM,SA1,,,,1,MBPS2PV1
NASF,Narromine,NEM,NSW1,,,,1,NASF1
NEVERSF,Nevertire,NEM,NSW1,,,,1,NEVERSF1
NEWENSF,New England,NEM,NSW1,,,,2,"NEWENSF2,NEWENSF1"
NUMURKSF,Numurkah,NEM,VIC1,,,,1,NUMURSF1
NYNGAN,Nyngan,NEM,NSW1,,,,1,NYNGAN1
OAKEY2SF,Oakey 2,NEM,QLD1,,,,1,OAKEY2SF
OAKEY1SF,Oakey Solar Farm,NEM,QLD1,,,,1,OAKEY1SF
PSF,Parkes,NEM,NSW1,,,,1,PARSF1
PAREPW,Port Augusta Energy Park,NEM,SA1,,,,1,PAREPS1
RRSF,Ross River,NEM,QLD1,,,,1,RRSF1
ROYALLA,Royalla,NEM,NSW1,,,,1,ROYALLA1
