facility_code,unit_code,interval_start,energy,network_id,interval_datetime,interval_local,date_only,hour,energy_mwh,facility_name,total_capacity_mw,network_region,irr_kwh_m2_hour,shortwave_radiation,temperature_2m,wind_speed_10m,cloud_cover,precipitation,date_key,time_key,facility_key,datetime_key
NYNGAN,NYNGAN1,2025-10-16T17:00:00+10:00,19.1251,NEM,2025-10-16 17:00:00+10:00,2025-10-16 18:00:00+11:00,2025-10-16,18,19.1251,Nyngan,102.0,NSW1,0.254,254.0,31.3,14.2,67,0.1,20251016,1800,NYNGAN,20251016_1800
NYNGAN,NYNGAN1,2025-10-16T18:00:00+10:00,3.2916,NEM,2025-10-16 18:00:00+10:00,2025-10-16 19:00:00+11:00,2025-10-16,19,3.2916,Nyngan,102.0,NSW1,0.074,74.0,30.0,10.9,81,0.0,20251016,1900,NYNGAN,20251016_1900
NYNGAN,NYNGAN1,2025-10-16T19:00:00+10:00,3.1248,NEM,2025-10-16 19:00:00+10:00,2025-10-16 20:00:00+11:00,2025-10-16,20,3.1248,Nyngan,102.0,NSW1,0.002,2.0,27.1,11.3,61,0.0,20251016,2000,NYNGAN,20251016_2000
NYNGAN,NYNGAN1,2025-10-16T20:00:00+10:00,2.8644,NEM,2025-10-16 20:00:00+10:00,2025-10-16 21:00:00+11:00,2025-10-16,21,2.8644,Nyngan,102.0,NSW1,0.0,0.0,25.5,12.2,7,0.0,20251016,2100,NYNGAN,20251016_2100
NYNGAN,NYNGAN1,2025-10-16T21:00:00+10:00,0.0,NEM,2025-10-16 21:00:00+10:00,2025-10-16 22:00:00+11:00,2025-10-16,22,0.0,Nyngan,102.0,NSW1,0.0,0.0,23.8,9.7,11,0.0,20251016,2200,NYNGAN,20251016_2200
NYNGAN,NYNGAN1,2025-10-16T22:00:00+10:00,0.0,NEM,2025-10-16 22:00:00+10:00,2025-10-16 23:00:00+11:00,2025-10-16,23,0.0,Nyngan,102.0,NSW1,0.0,0.0,23.5,11.7,97,0.0,20251016,2300,NYNGAN,20251016_2300
NYNGAN,NYNGAN1,2025-10-16T23:00:00+10:00,0.0,NEM,2025-10-16 23:00:00+10:00,2025-10-17 00:00:00+11:00,2025-10-17,0,0.0,Nyngan,102.0,NSW1,0.0,0.0,22.9,11.7,36,0.0,20251017,0,NYNGAN,20251017_0
NYNGAN,NYNGAN1,2025-10-17T00:00:00+10:00,0.0,NEM,2025-10-17 00:00:00+10:00,2025-10-17 01:00:00+11:00,2025-10-17,1,0.0,Nyngan,102.0,NSW1,0.0,0.0,22.0,11.3,39,0.0,20251017,100,NYNGAN,20251017_100
NYNGAN,NYNGAN1,2025-10-17T01:00:00+10:00,0.0,NEM,2025-10-17 01:00:00+10:00,2025-10-17 02:00:00+11:00,2025-10-17,2,0.0,Nyngan,102.0,NSW1,0.0,0.0,21.7,13.1,60,0.0,20251017,200,NYNGAN,20251017_200
NYNGAN,NYNGAN1,2025-10-17T02:00:00+10:00,0.0,NEM,2025-10-17 02:00:00+10:00,2025-10-17 03:00:00+11:00,2025-10-17,3,0.0,Nyngan,102.0,NSW1,0.0,0.0,21.4,12.1,50,0.0,20251017,300,NYNGAN,20251017_300
NYNGAN,NYNGAN1,2025-10-17T03:00:00+10:00,0.0,NEM,2025-10-17 03:00:00+10:00,2025-10-17 04:00:00+11:00,2025-10-17,4,0.0,Nyngan,102.0,NSW1,0.0,0.0,20.8,11.2,36,0.0,20251017,400,NYNGAN,20251017_400
NYNGAN,NYNGAN1,2025-10-17T04:00:00+10:00,0.0,NEM,2025-10-17 04:00:00+10:00,2025-10-17 05:00:00+11:00,2025-10-17,5,0.0,Nyngan,102.0,NSW1,0.0,0.0,21.4,13.0,68,0.0,20251017,500,NYNGAN,20251017_500
NYNGAN,NYNGAN1,2025-10-17T05:00:00+10:00,0.0,NEM,2025-10-17 05:00:00+10:00,2025-10-17 06:00:00+11:00,2025-10-17,6,0.0,Nyngan,102.0,NSW1,0.0,0.0,21.2,12.3,67,0.0,20251017,600,NYNGAN,20251017_600
NYNGAN,NYNGAN1,2025-10-17T06:00:00+10:00,2.3334,NEM,2025-10-17 06:00:00+10:00,2025-10-17 07:00:00+11:00,2025-10-17,7,2.3334,Nyngan,102.0,NSW1,0.01,10.0,21.2,12.3,60,0.0,20251017,700,NYNGAN,20251017_700
NYNGAN,NYNGAN1,2025-10-17T07:00:00+10:00,15.4585,NEM,2025-10-17 07:00:00+10:00,2025-10-17 08:00:00+11:00,2025-10-17,8,15.4585,Nyngan,102.0,NSW1,0.117,117.0,22.8,16.9,58,0.2,20251017,800,NYNGAN,20251017_800
NYNGAN,NYNGAN1,2025-10-17T08:00:00+10:00,46.1981,NEM,2025-10-17 08:00:00+10:00,2025-10-17 09:00:00+11:00,2025-10-17,9,46.1981,Nyngan,102.0,NSW1,0.325,325.0,25.5,21.4,27,0.0,20251017,900,NYNGAN,20251017_900
NYNGAN,NYNGAN1,2025-10-17T09:00:00+10:00,74.4896,NEM,2025-10-17 09:00:00+10:00,2025-10-17 10:00:00+11:00,2025-10-17,10,74.4896,Nyngan,102.0,NSW1,0.578,578.0,28.2,22.7,52,0.0,20251017,1000,NYNGAN,20251017_1000
NYNGAN,NYNGAN1,2025-10-17T10:00:00+10:00,71.9688,NEM,2025-10-17 10:00:00+10:00,2025-10-17 11:00:00+11:00,2025-10-17,11,71.9688,Nyngan,102.0,NSW1,0.682,682.0,30.5,22.9,57,0.0,20251017,1100,NYNGAN,20251017_1100
NYNGAN,NYNGAN1,2025-10-17T11:00:00+10:00,77.6356,NEM,2025-10-17 11:00:00+10:00,2025-10-17 12:00:00+11:00,2025-10-17,12,77.6356,Nyngan,102.0,NSW1,0.747,747.0,32.7,22.1,55,0.0,20251017,1200,NYNGAN,20251017_1200
NYNGAN,NYNGAN1,2025-10-17T12:00:00+10:00,69.2292,NEM,2025-10-17 12:00:00+10:00,2025-10-17 13:00:00+11:00,2025-10-17,13,69.2292,Nyngan,102.0,NSW1,0.835,835.0,33.3,18.9,100,0.3,20251017,1300,NYNGAN,20251017_1300
NYNGAN,NYNGAN1,2025-10-17T13:00:00+10:00,83.2293,NEM,2025-10-17 13:00:00+10:00,2025-10-17 14:00:00+11:00,2025-10-17,14,83.2293,Nyngan,102.0,NSW1,0.943,943.0,34.3,20.8,0,0.2,20251017,1400,NYNGAN,20251017_1400
NYNGAN,NYNGAN1,2025-10-17T14:00:00+10:00,56.4479,NEM,2025-10-17 14:00:00+10:00,2025-10-17 15:00:00+11:00,2025-10-17,15,56.4479,Nyngan,102.0,NSW1,0.844,844.0,35.0,22.0,23,0.0,20251017,1500,NYNGAN,20251017_1500
NYNGAN,NYNGAN1,2025-10-17T15:00:00+10:00,52.6253,NEM,2025-10-17 15:00:00+10:00,2025-10-17 16:00:00+11:00,2025-10-17,16,52.6253,Nyngan,102.0,NSW1,0.672,672.0,35.3,19.7,49,0.0,20251017,1600,NYNGAN,20251017_1600
NYNGAN,NYNGAN1,2025-10-17T16:00:00+10:00,47.7293,NEM,2025-10-17 16:00:00+10:00,2025-10-17 17:00:00+11:00,2025-10-17,17,47.7293,Nyngan,102.0,NSW1,0.473,473.0,35.4,19.7,52,0.0,20251017,1700,NYNGAN,20251017_1700
NYNGAN,NYNGAN1,2025-10-17T17:00:00+10:00,35.3127,NEM,2025-10-17 17:00:00+10:00,2025-10-17 18:00:00+11:00,2025-10-17,18,35.3127,Nyngan,102.0,NSW1,0.276,276.0,35.0,21.4,58,0.0,20251017,1800,NYNGAN,20251017_1800
NYNGAN,NYNGAN1,2025-10-17T18:00:00+10:00,2.0317,NEM,2025-10-17 18:00:00+10:00,2025-10-17 19:00:00+11:00,2025-10-17,19,2.0317,Nyngan,102.0,NSW1,0.113,113.0,33.0,20.7,28,0.0,20251017,1900,NYNGAN,20251017_1900
NYNGAN,NYNGAN1,2025-10-17T19:00:00+10:00,1.8756,NEM,2025-10-17 19:00:00+10:00,2025-10-17 20:00:00+11:00,2025-10-17,20,1.8756,Nyngan,102.0,NSW1,0.005,5.0,28.2,14.4,73,0.0,20251017,2000,NYNGAN,20251017_2000
NYNGAN,NYNGAN1,2025-10-17T20:00:00+10:00,1.7193,NEM,2025-10-17 20:00:00+10:00,2025-10-17 21:00:00+11:00,2025-10-17,21,1.7193,Nyngan,102.0,NSW1,0.0,0.0,25.7,13.5,100,0.0,20251017,2100,NYNGAN,20251017_2100
NYNGAN,NYNGAN1,2025-10-17T21:00:00+10:00,0.0,NEM,2025-10-17 21:00:00+10:00,2025-10-17 22:00:00+11:00,2025-10-17,22,0.0,Nyngan,102.0,NSW1,0.0,0.0,24.1,13.6,100,0.0,20251017,2200,NYNGAN,20251017_2200
NYNGAN,NYNGAN1,2025-10-17T22:00:00+10:00,0.0,NEM,2025-10-17 22:00:00+10:00,2025-10-17 23:00:00+11:00,2025-10-17,23,0.0,Nyngan,102.0,NSW1,0.0,0.0,22.7,11.5,100,0.0,20251017,2300,NYNGAN,20251017_2300
