date,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,temperature_2m,dew_point_2m,cloud_cover,precipitation,wind_speed_10m,wind_direction_10m,pressure_msl,facility_code,facility_name
2025-10-16T00:00,661.0,442.0,219.0,586.2,27.2,7.1,42,0.0,16.4,15,1019.5,NYNGAN,Nyngan
2025-10-16T01:00,808.0,622.0,186.0,722.6,29.2,11.7,52,0.0,16.9,358,1018.6,NYNGAN,Nyngan
2025-10-16T02:00,886.0,686.0,200.0,750.2,30.8,14.0,45,0.0,17.9,338,1016.7,NYNGAN,Nyngan
2025-10-16T03:00,900.0,750.0,150.0,823.0,32.1,13.3,0,0.0,18.2,335,1015.2,NYNGAN,Nyngan
2025-10-16T04:00,734.0,571.0,163.0,670.5,32.4,12.6,58,0.0,21.2,320,1013.7,NYNGAN,Nyngan
2025-10-16T05:00,656.0,537.0,119.0,726.2,32.6,11.1,82,0.0,16.6,318,1013.1,NYNGAN,Nyngan
2025-10-16T06:00,447.0,293.0,154.0,503.1,32.6,11.2,55,0.0,14.5,305,1012.8,NYNGAN,Nyngan
2025-10-16T07:00,254.0,139.0,115.0,355.2,31.3,12.1,67,0.1,14.2,344,1013.2,NYNGAN,Nyngan
2025-10-16T08:00,74.0,29.0,45.0,160.5,30.0,12.8,81,0.0,10.9,27,1013.2,NYNGAN,Nyngan
2025-10-16T09:00,2.0,0.0,2.0,0.0,27.1,13.4,61,0.0,11.3,17,1013.4,NYNGAN,Nyngan
2025-10-16T10:00,0.0,0.0,0.0,0.0,25.5,13.0,7,0.0,12.2,360,1013.9,NYNGAN,Nyngan
2025-10-16T11:00,0.0,0.0,0.0,0.0,23.8,13.4,11,0.0,9.7,2,1014.3,NYNGAN,Nyngan
2025-10-16T12:00,0.0,0.0,0.0,0.0,23.5,13.4,97,0.0,11.7,18,1014.3,NYNGAN,Nyngan
2025-10-16T13:00,0.0,0.0,0.0,0.0,22.9,13.4,36,0.0,11.7,18,1014.1,NYNGAN,Nyngan
2025-10-16T14:00,0.0,0.0,0.0,0.0,22.0,14.1,39,0.0,11.3,17,1014.1,NYNGAN,Nyngan
2025-10-16T15:00,0.0,0.0,0.0,0.0,21.7,15.5,60,0.0,13.1,9,1013.8,NYNGAN,Nyngan
2025-10-16T16:00,0.0,0.0,0.0,0.0,21.4,16.2,50,0.0,12.1,10,1013.1,NYNGAN,Nyngan
2025-10-16T17:00,0.0,0.0,0.0,0.0,20.8,16.0,36,0.0,11.2,6,1012.9,NYNGAN,Nyngan
2025-10-16T18:00,0.0,0.0,0.0,0.0,21.4,15.9,68,0.0,13.0,3,1013.1,NYNGAN,Nyngan
2025-10-16T19:00,0.0,0.0,0.0,0.0,21.2,15.7,67,0.0,12.3,3,1013.2,NYNGAN,Nyngan
2025-10-16T20:00,10.0,3.0,7.0,35.4,21.2,15.7,60,0.0,12.3,7,1013.9,NYNGAN,Nyngan
2025-10-16T21:00,117.0,58.0,59.0,281.4,22.8,15.9,58,0.2,16.9,12,1014.5,NYNGAN,Nyngan
2025-10-16T22:00,325.0,224.0,101.0,537.6,25.5,15.8,27,0.0,21.4,7,1014.8,NYNGAN,Nyngan
2025-10-16T23:00,578.0,483.0,95.0,798.9,28.2,15.8,52,0.0,22.7,359,1014.5,NYNGAN,Nyngan
2025-10-17T00:00,682.0,506.0,176.0,668.4,30.5,15.8,57,0.0,22.9,353,1013.4,NYNGAN,Nyngan
2025-10-17T01:00,747.0,522.0,225.0,604.5,32.7,15.7,55,0.0,22.1,338,1012.1,NYNGAN,Nyngan
