facility_code,facility_name,latitude,longitude,date,pm2_5,pm10,dust,nitrogen_dioxide,ozone,sulphur_dioxide,carbon_monoxide,uv_index,uv_index_clear_sky,ingest_mode,ingest_timestamp,air_timestamp,air_date
AVLSF,Avonlie,-34.919115,146.60954,2025-10-01T00:00,3.6,3.9,0.0,1.9,54.0,0.2,79.0,0.0,0.0,backfill,2025-11-19T02:01:48.434Z,2025-10-01T00:00:00.000Z,2025-10-01
AVLSF,Avonlie,-34.919115,146.60954,2025-10-01T01:00,3.4,3.8,0.0,2.2,50.0,0.2,79.0,0.0,0.0,backfill,2025-11-19T02:01:48.434Z,2025-10-01T01:00:00.000Z,2025-10-01
AVLSF,Avonlie,-34.919115,146.60954,2025-10-01T02:00,3.2,3.7,0.0,2.2,48.0,0.2,79.0,0.0,0.0,backfill,2025-11-19T02:01:48.434Z,2025-10-01T02:00:00.000Z,2025-10-01
AVLSF,Avonlie,-34.919115,146.60954,2025-10-01T03:00,2.6,3.1,0.0,2.1,46.0,0.3,79.0,0.0,0.0,backfill,2025-11-19T02:01:48.434Z,2025-10-01T03:00:00.000Z,2025-10-01
AVLSF,Avonlie,-34.919115,146.60954,2025-10-01T04:00,2.0,2.4,0.0,2.0,44.0,0.3,79.0,0.0,0.0,backfill,2025-11-19T02:01:48.434Z,2025-10-01T04:00:00.000Z,2025-10-01
AVLSF,Avonlie,-34.919115,146.60954,2025-10-01T05:00,1.7,2.1,0.0,2.0,40.0,0.3,79.0,0.0,0.0,backfill,2025-11-19T02:01:48.434Z,2025-10-01T05:00:00.000Z,2025-10-01
AVLSF,Avonlie,-34.919115,146.60954,2025-10-01T06:00,1.7,2.2,0.0,2.1,37.0,0.3,80.0,0.05,0.05,backfill,2025-11-19T02:01:48.434Z,2025-10-01T06:00:00.000Z,2025-10-01
AVLSF,Avonlie,-34.919115,146.60954,2025-10-01T07:00,1.7,2.1,0.0,2.0,36.0,0.3,80.0,0.45,0.45,backfill,2025-11-19T02:01:48.434Z,2025-10-01T07:00:00.000Z,2025-10-01
AVLSF,Avonlie,-34.919115,146.60954,2025-10-01T08:00,1.8,2.3,0.0,1.5,41.0,0.3,80.0,1.4,1.4,backfill,2025-11-19T02:01:48.434Z,2025-10-01T08:00:00.000Z,2025-10-01
AVLSF,Avonlie,-34.919115,146.60954,2025-10-01T09:00,1.7,2.3,0.0,0.8,50.0,0.2,79.0,2.75,2.95,backfill,2025-11-19T02:01:48.434Z,2025-10-01T09:00:00.000Z,2025-10-01
