network_code,network_id,network_region,facility_code,facility_name,unit_code,metric,interval,value_unit,interval_start,value,interval_ts,interval_date,ingest_mode,ingest_timestamp
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-01-01T00:00:00+10:00,0.0,2024-12-31T14:00:00.000Z,2024-12-31,backfill,2026-01-28T07:10:22.928Z
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-01-01T01:00:00+10:00,0.0,2024-12-31T15:00:00.000Z,2024-12-31,backfill,2026-01-28T07:10:22.928Z
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-01-01T02:00:00+10:00,0.0,2024-12-31T16:00:00.000Z,2024-12-31,backfill,2026-01-28T07:10:22.928Z
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-01-01T03:00:00+10:00,0.0,2024-12-31T17:00:00.000Z,2024-12-31,backfill,2026-01-28T07:10:22.928Z
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-01-01T04:00:00+10:00,0.0,2024-12-31T18:00:00.000Z,2024-12-31,backfill,2026-01-28T07:10:22.928Z
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-01-01T05:00:00+10:00,9.4144,2024-12-31T19:00:00.000Z,2024-12-31,backfill,2026-01-28T07:10:22.928Z
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-01-01T06:00:00+10:00,104.3297,2024-12-31T20:00:00.000Z,2024-12-31,backfill,2026-01-28T07:10:22.928Z
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-01-01T07:00:00+10:00,180.2441,2024-12-31T21:00:00.000Z,2024-12-31,backfill,2026-01-28T07:10:22.928Z
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-01-01T08:00:00+10:00,181.079,2024-12-31T22:00:00.000Z,2024-12-31,backfill,2026-01-28T07:10:22.928Z
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-01-01T09:00:00+10:00,171.8306,2024-12-31T23:00:00.000Z,2024-12-31,backfill,2026-01-28T07:10:22.928Z
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-01-01T10:00:00+10:00,184.9944,2025-01-01T00:00:00.000Z,2025-01-01,backfill,2026-01-28T07:10:22.928Z
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-01-01T11:00:00+10:00,184.9944,2025-01-01T01:00:00.000Z,2025-01-01,backfill,2026-01-28T07:10:22.928Z
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-01-01T12:00:00+10:00,183.8274,2025-01-01T02:00:00.000Z,2025-01-01,backfill,2026-01-28T07:10:22.928Z
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-01-01T13:00:00+10:00,118.8294,2025-01-01T03:00:00.000Z,2025-01-01,backfill,2026-01-28T07:10:22.928Z
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-01-01T14:00:00+10:00,163.1613,2025-01-01T04:00:00.000Z,2025-01-01,backfill,2026-01-28T07:10:22.928Z
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-01-01T15:00:00+10:00,137.4957,2025-01-01T05:00:00.000Z,2025-01-01,backfill,2026-01-28T07:10:22.928Z
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-01-01T16:00:00+10:00,176.7439,2025-01-01T06:00:00.000Z,2025-01-01,backfill,2026-01-28T07:10:22.928Z
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-01-01T17:00:00+10:00,172.2452,2025-01-01T07:00:00.000Z,2025-01-01,backfill,2026-01-28T07:10:22.928Z
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-01-01T18:00:00+10:00,89.9118,2025-01-01T08:00:00.000Z,2025-01-01,backfill,2026-01-28T07:10:22.928Z
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-01-01T19:00:00+10:00,3.9153,2025-01-01T09:00:00.000Z,2025-01-01,backfill,2026-01-28T07:10:22.928Z
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-01-01T20:00:00+10:00,0.0,2025-01-01T10:00:00.000Z,2025-01-01,backfill,2026-01-28T07:10:22.928Z
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-01-01T21:00:00+10:00,0.0,2025-01-01T11:00:00.000Z,2025-01-01,backfill,2026-01-28T07:10:22.928Z
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-01-01T22:00:00+10:00,0.0,2025-01-01T12:00:00.000Z,2025-01-01,backfill,2026-01-28T07:10:22.928Z
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-01-01T23:00:00+10:00,0.0,2025-01-01T13:00:00.000Z,2025-01-01,backfill,2026-01-28T07:10:22.928Z
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-01-02T00:00:00+10:00,0.0,2025-01-01T14:00:00.000Z,2025-01-01,backfill,2026-01-28T07:10:22.928Z
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-01-02T01:00:00+10:00,0.0,2025-01-01T15:00:00.000Z,2025-01-01,backfill,2026-01-28T07:10:22.928Z
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-01-02T02:00:00+10:00,0.0,2025-01-01T16:00:00.000Z,2025-01-01,backfill,2026-01-28T07:10:22.928Z
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-01-02T03:00:00+10:00,0.0,2025-01-01T17:00:00.000Z,2025-01-01,backfill,2026-01-28T07:10:22.928Z
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-01-02T04:00:00+10:00,0.0,2025-01-01T18:00:00.000Z,2025-01-01,backfill,2026-01-28T07:10:22.928Z
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-01-02T05:00:00+10:00,8.6642,2025-01-01T19:00:00.000Z,2025-01-01,backfill,2026-01-28T07:10:22.928Z
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-01-02T06:00:00+10:00,108.4117,2025-01-01T20:00:00.000Z,2025-01-01,backfill,2026-01-28T07:10:22.928Z
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-01-02T07:00:00+10:00,181.7449,2025-01-01T21:00:00.000Z,2025-01-01,backfill,2026-01-28T07:10:22.928Z
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-01-02T08:00:00+10:00,179.4958,2025-01-01T22:00:00.000Z,2025-01-01,backfill,2026-01-28T07:10:22.928Z
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-01-02T09:00:00+10:00,161.495,2025-01-01T23:00:00.000Z,2025-01-01,backfill,2026-01-28T07:10:22.928Z
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-01-02T10:00:00+10:00,173.6921,2025-01-02T00:00:00.000Z,2025-01-02,backfill,2026-01-28T07:10:22.928Z
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-01-02T11:00:00+10:00,28.7418,2025-01-02T01:00:00.000Z,2025-01-02,backfill,2026-01-28T07:10:22.928Z
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-01-02T12:00:00+10:00,68.2237,2025-01-02T02:00:00.000Z,2025-01-02,backfill,2026-01-28T07:10:22.928Z
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-01-02T13:00:00+10:00,125.2004,2025-01-02T03:00:00.000Z,2025-01-02,backfill,2026-01-28T07:10:22.928Z
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-01-02T14:00:00+10:00,16.3446,2025-01-02T04:00:00.000Z,2025-01-02,backfill,2026-01-28T07:10:22.928Z
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-01-02T15:00:00+10:00,102.7408,2025-01-02T05:00:00.000Z,2025-01-02,backfill,2026-01-28T07:10:22.928Z
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-01-02T16:00:00+10:00,184.9067,2025-01-02T06:00:00.000Z,2025-01-02,backfill,2026-01-28T07:10:22.928Z
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-01-02T17:00:00+10:00,169.6975,2025-01-02T07:00:00.000Z,2025-01-02,backfill,2026-01-28T07:10:22.928Z
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-01-02T18:00:00+10:00,87.2533,2025-01-02T08:00:00.000Z,2025-01-02,backfill,2026-01-28T07:10:22.928Z
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-01-02T19:00:00+10:00,3.5541,2025-01-02T09:00:00.000Z,2025-01-02,backfill,2026-01-28T07:10:22.928Z
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-01-02T20:00:00+10:00,0.0,2025-01-02T10:00:00.000Z,2025-01-02,backfill,2026-01-28T07:10:22.928Z
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-01-02T21:00:00+10:00,0.0,2025-01-02T11:00:00.000Z,2025-01-02,backfill,2026-01-28T07:10:22.928Z
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-01-02T22:00:00+10:00,0.0,2025-01-02T12:00:00.000Z,2025-01-02,backfill,2026-01-28T07:10:22.928Z
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-01-02T23:00:00+10:00,0.0,2025-01-02T13:00:00.000Z,2025-01-02,backfill,2026-01-28T07:10:22.928Z
