network_code,network_id,network_region,facility_code,facility_name,unit_code,metric,interval,value_unit,interval_start,value,ingest_mode,ingest_timestamp,interval_ts,interval_date
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-10-01T00:00:00+10:00,0.0,backfill,2025-11-19T01:59:49.026Z,2025-09-30T14:00:00.000Z,2025-09-30
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-10-01T01:00:00+10:00,0.0,backfill,2025-11-19T01:59:49.026Z,2025-09-30T15:00:00.000Z,2025-09-30
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-10-01T02:00:00+10:00,0.0,backfill,2025-11-19T01:59:49.026Z,2025-09-30T16:00:00.000Z,2025-09-30
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-10-01T03:00:00+10:00,0.0,backfill,2025-11-19T01:59:49.026Z,2025-09-30T17:00:00.000Z,2025-09-30
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-10-01T04:00:00+10:00,0.0,backfill,2025-11-19T01:59:49.026Z,2025-09-30T18:00:00.000Z,2025-09-30
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-10-01T05:00:00+10:00,0.0,backfill,2025-11-19T01:59:49.026Z,2025-09-30T19:00:00.000Z,2025-09-30
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-10-01T06:00:00+10:00,14.0935,backfill,2025-11-19T01:59:49.026Z,2025-09-30T20:00:00.000Z,2025-09-30
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-10-01T07:00:00+10:00,45.8131,backfill,2025-11-19T01:59:49.026Z,2025-09-30T21:00:00.000Z,2025-09-30
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-10-01T08:00:00+10:00,16.7933,backfill,2025-11-19T01:59:49.026Z,2025-09-30T22:00:00.000Z,2025-09-30
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-10-01T09:00:00+10:00,25.1464,backfill,2025-11-19T01:59:49.026Z,2025-09-30T23:00:00.000Z,2025-09-30
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-10-01T10:00:00+10:00,21.4879,backfill,2025-11-19T01:59:49.026Z,2025-10-01T00:00:00.000Z,2025-10-01
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-10-01T11:00:00+10:00,27.2296,backfill,2025-11-19T01:59:49.026Z,2025-10-01T01:00:00.000Z,2025-10-01
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-10-01T12:00:00+10:00,35.8309,backfill,2025-11-19T01:59:49.026Z,2025-10-01T02:00:00.000Z,2025-10-01
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-10-01T13:00:00+10:00,40.5683,backfill,2025-11-19T01:59:49.026Z,2025-10-01T03:00:00.000Z,2025-10-01
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-10-01T14:00:00+10:00,20.7494,backfill,2025-11-19T01:59:49.026Z,2025-10-01T04:00:00.000Z,2025-10-01
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-10-01T15:00:00+10:00,15.0442,backfill,2025-11-19T01:59:49.026Z,2025-10-01T05:00:00.000Z,2025-10-01
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-10-01T16:00:00+10:00,33.8153,backfill,2025-11-19T01:59:49.026Z,2025-10-01T06:00:00.000Z,2025-10-01
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-10-01T17:00:00+10:00,37.3576,backfill,2025-11-19T01:59:49.026Z,2025-10-01T07:00:00.000Z,2025-10-01
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-10-01T18:00:00+10:00,22.8776,backfill,2025-11-19T01:59:49.026Z,2025-10-01T08:00:00.000Z,2025-10-01
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-10-01T19:00:00+10:00,22.7988,backfill,2025-11-19T01:59:49.026Z,2025-10-01T09:00:00.000Z,2025-10-01
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-10-01T20:00:00+10:00,17.0991,backfill,2025-11-19T01:59:49.026Z,2025-10-01T10:00:00.000Z,2025-10-01
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-10-01T21:00:00+10:00,0.0,backfill,2025-11-19T01:59:49.026Z,2025-10-01T11:00:00.000Z,2025-10-01
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-10-01T22:00:00+10:00,0.0,backfill,2025-11-19T01:59:49.026Z,2025-10-01T12:00:00.000Z,2025-10-01
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-10-01T23:00:00+10:00,0.0,backfill,2025-11-19T01:59:49.026Z,2025-10-01T13:00:00.000Z,2025-10-01
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-10-02T00:00:00+10:00,0.0,backfill,2025-11-19T01:59:49.026Z,2025-10-01T14:00:00.000Z,2025-10-01
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-10-02T01:00:00+10:00,0.0,backfill,2025-11-19T01:59:49.026Z,2025-10-01T15:00:00.000Z,2025-10-01
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-10-02T02:00:00+10:00,0.0,backfill,2025-11-19T01:59:49.026Z,2025-10-01T16:00:00.000Z,2025-10-01
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-10-02T03:00:00+10:00,0.0,backfill,2025-11-19T01:59:49.026Z,2025-10-01T17:00:00.000Z,2025-10-01
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-10-02T04:00:00+10:00,0.0,backfill,2025-11-19T01:59:49.026Z,2025-10-01T18:00:00.000Z,2025-10-01
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-10-02T05:00:00+10:00,0.0,backfill,2025-11-19T01:59:49.026Z,2025-10-01T19:00:00.000Z,2025-10-01
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-10-02T06:00:00+10:00,3.1028,backfill,2025-11-19T01:59:49.026Z,2025-10-01T20:00:00.000Z,2025-10-01
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-10-02T07:00:00+10:00,36.2851,backfill,2025-11-19T01:59:49.026Z,2025-10-01T21:00:00.000Z,2025-10-01
NEM,NEM,NSW1,AVLSF,Avonlie,AVLSF1,energy,1h,MWh,2025-10-02T08:00:00+10:00,30.4796,backfill,2025-11-19T01:59:49.026Z,2025-10-01T22:00:00.000Z,2025-10-01
