facility_key,facility_code,facility_name,network_id,network_region,location_lat,location_lng,total_capacity_mw,total_capacity_registered_mw,total_capacity_maximum_mw,unit_fueltech_summary,unit_status_summary
13,YATSF1,Yatpool,NEM,VIC1,-34.380730,142.205340,94.0000,94.0000,81.0000,solar_utility:1,operating:1
4,EMERASF,Emerald,NEM,QLD1,-23.508790,148.128017,88.0000,88.0000,72.0000,solar_utility:1,operating:1
6,HUGSF,Hughenden,NEM,QLD1,-20.854794,144.186048,20.9700,20.9700,18.0000,solar_utility:1,operating:1
11,WOOLGSF,Woolooga,NEM,QLD1,-26.084522,152.441226,222.5000,222.5000,176.0000,solar_utility:1,operating:1
1,AVLSF,Avonlie,NEM,NSW1,-34.919115,146.609540,254.1000,254.1000,190.0000,solar_utility:1,operating:1
2,BOMENSF,Bomen,NEM,NSW1,-35.048600,147.443900,121.0000,121.0000,100.0000,solar_utility:1,operating:1
3,DARLSF,Darlington Point,NEM,NSW1,-34.644808,146.035756,324.0000,324.0000,275.0000,solar_utility:1,operating:1
5,FINLEYSF,Finley,NEM,NSW1,-35.644210,145.508644,162.3600,162.3600,133.0000,solar_utility:1,operating:1
7,JEMALNG1,Jemalong,NEM,NSW1,-33.388764,147.669375,55.0000,55.0000,50.0000,solar_utility:1,operating:1
8,LIMOSF1,Limondale,NEM,NSW1,-34.775502,143.508046,275.0000,275.0000,220.0000,solar_utility:1,operating:1
9,LIMOSF2,Limondale 2,NEM,NSW1,-34.775502,143.508046,38.0000,38.0000,29.0000,solar_utility:1,operating:1
10,WELNSF,Wellington North,NEM,NSW1,-32.514353,148.957634,436.0000,436.0000,330.0000,solar_utility:1,operating:1
12,WRSF1,White Rock Solar Farm,NEM,NSW1,-29.763292,151.552402,22.0000,22.0000,20.0000,solar_utility:1,operating:1
