facility_code,facility_name,timestamp,date_hour,date,pm2_5,pm10,dust,nitrogen_dioxide,ozone,sulphur_dioxide,carbon_monoxide,uv_index,uv_index_clear_sky,aqi_category,aqi_value,is_valid,quality_flag,quality_issues,created_at,updated_at
AVLSF,Avonlie,2025-10-01T06:00:00.000Z,2025-10-01T06:00:00.000Z,2025-10-01,1.7,2.2,0.0,2.1,37.0,0.3,80.0,0.05,0.05,Good,7,true,GOOD,"",2025-11-19T04:17:21.700Z,2025-11-19T04:17:21.700Z
BOMENSF,Bomen,2025-10-01T06:00:00.000Z,2025-10-01T06:00:00.000Z,2025-10-01,2.1,2.5,0.0,2.2,38.0,0.3,81.0,0.05,0.05,Good,9,true,GOOD,"",2025-11-19T04:17:21.700Z,2025-11-19T04:17:21.700Z
DARLSF,Darlington Point,2025-10-01T06:00:00.000Z,2025-10-01T06:00:00.000Z,2025-10-01,1.7,2.2,0.0,1.9,38.0,0.3,80.0,0.05,0.05,Good,7,true,GOOD,"",2025-11-19T04:17:21.700Z,2025-11-19T04:17:21.700Z
EMERASF,Emerald,2025-10-01T06:00:00.000Z,2025-10-01T06:00:00.000Z,2025-10-01,14.6,15.1,0.0,1.9,61.0,1.1,255.0,0.05,0.05,Moderate,56,true,GOOD,"",2025-11-19T04:17:21.700Z,2025-11-19T04:17:21.700Z
FINLEYSF,Finley,2025-10-01T06:00:00.000Z,2025-10-01T06:00:00.000Z,2025-10-01,1.2,1.5,0.0,1.6,39.0,0.3,81.0,0.0,0.0,Good,5,true,GOOD,"",2025-11-19T04:17:21.700Z,2025-11-19T04:17:21.700Z
HUGSF,Hughenden,2025-10-01T06:00:00.000Z,2025-10-01T06:00:00.000Z,2025-10-01,5.0,5.3,1.0,0.7,82.0,0.7,137.0,0.0,0.0,Good,21,true,GOOD,"",2025-11-19T04:17:21.700Z,2025-11-19T04:17:21.700Z
LIMOSF2,Limondale 2,2025-10-01T06:00:00.000Z,2025-10-01T06:00:00.000Z,2025-10-01,1.0,1.3,0.0,1.4,44.0,0.3,81.0,0.0,0.0,Good,4,true,GOOD,"",2025-11-19T04:17:21.700Z,2025-11-19T04:17:21.700Z
WRSF1,White Rock Solar Farm,2025-10-01T06:00:00.000Z,2025-10-01T06:00:00.000Z,2025-10-01,4.0,4.4,1.0,1.8,67.0,2.1,110.0,0.1,0.1,Good,17,true,GOOD,"",2025-11-19T04:17:21.700Z,2025-11-19T04:17:21.700Z
YATSF1,Yatpool,2025-10-01T06:00:00.000Z,2025-10-01T06:00:00.000Z,2025-10-01,0.9,1.3,0.0,1.1,45.0,0.3,80.0,0.0,0.0,Good,4,true,GOOD,"",2025-11-19T04:17:21.700Z,2025-11-19T04:17:21.700Z
AVLSF,Avonlie,2025-10-26T18:00:00.000Z,2025-10-26T18:00:00.000Z,2025-10-26,1.5,1.5,0.0,0.6,75.0,0.1,124.0,0.05,0.1,Good,6,true,GOOD,"",2025-11-19T04:17:36.822Z,2025-11-19T04:17:36.822Z
