facility_code,facility_name,network_code,network_region,date_hour,energy_mwh,intervals_count,quality_flag,quality_issues,completeness_pct,created_at,updated_at
EMERASF,Emerald,NEM,QLD1,2025-10-01T06:00:00.000Z,0.0,1,GOOD,"",100.0,2025-11-19T04:16:07.240Z,2025-11-19T04:16:07.240Z
HUGSF,Hughenden,NEM,QLD1,2025-10-01T06:00:00.000Z,0.0,1,GOOD,"",100.0,2025-11-19T04:16:07.240Z,2025-11-19T04:16:07.240Z
LIMOSF2,Limondale 2,NEM,NSW1,2025-10-01T06:00:00.000Z,0.0,1,GOOD,"",100.0,2025-11-19T04:16:07.240Z,2025-11-19T04:16:07.240Z
FINLEYSF,Finley,NEM,NSW1,2025-10-01T06:00:00.000Z,0.0,1,GOOD,"",100.0,2025-11-19T04:16:07.240Z,2025-11-19T04:16:07.240Z
DARLSF,Darlington Point,NEM,NSW1,2025-10-01T06:00:00.000Z,0.0,1,GOOD,"",100.0,2025-11-19T04:16:07.240Z,2025-11-19T04:16:07.240Z
WRSF1,White Rock Solar Farm,NEM,NSW1,2025-10-01T06:00:00.000Z,0.0,1,GOOD,"",100.0,2025-11-19T04:16:07.240Z,2025-11-19T04:16:07.240Z
YATSF1,Yatpool,NEM,VIC1,2025-10-01T06:00:00.000Z,0.0,1,GOOD,"",100.0,2025-11-19T04:16:07.240Z,2025-11-19T04:16:07.240Z
BOMENSF,Bomen,NEM,NSW1,2025-10-01T06:00:00.000Z,0.0,1,GOOD,"",100.0,2025-11-19T04:16:07.240Z,2025-11-19T04:16:07.240Z
AVLSF,Avonlie,NEM,NSW1,2025-10-01T06:00:00.000Z,0.0,1,GOOD,"",100.0,2025-11-19T04:16:07.240Z,2025-11-19T04:16:07.240Z
FINLEYSF,Finley,NEM,NSW1,2025-10-21T16:00:00.000Z,28.9724,1,GOOD,"",100.0,2025-11-19T04:16:22.760Z,2025-11-19T04:16:22.760Z
DARLSF,Darlington Point,NEM,NSW1,2025-10-21T16:00:00.000Z,70.9405,1,GOOD,"",100.0,2025-11-19T04:16:22.760Z,2025-11-19T04:16:22.760Z
EMERASF,Emerald,NEM,QLD1,2025-10-21T16:00:00.000Z,64.746,1,GOOD,"",100.0,2025-11-19T04:16:22.760Z,2025-11-19T04:16:22.760Z
BOMENSF,Bomen,NEM,NSW1,2025-10-21T16:00:00.000Z,18.9427,1,GOOD,"",100.0,2025-11-19T04:16:22.760Z,2025-11-19T04:16:22.760Z
