facility_code,facility_name,timestamp,date_hour,date,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,temperature_2m,dew_point_2m,wet_bulb_temperature_2m,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,precipitation,sunshine_duration,total_column_integrated_water_vapour,wind_speed_10m,wind_direction_10m,wind_gusts_10m,pressure_msl,is_valid,quality_flag,quality_issues,created_at,updated_at
AVLSF,Avonlie,2025-10-01T06:00:00.000Z,2025-10-01T06:00:00.000Z,2025-10-01,0.0,0.0,0.0,0.0,10.3,5.5,7.4,27,0,27,0,0.0,0.0,12.6,10.3,301,18.0,1009.2,true,GOOD,"",2025-11-19T04:16:43.272Z,2025-11-19T04:16:43.272Z
BOMENSF,Bomen,2025-10-01T06:00:00.000Z,2025-10-01T06:00:00.000Z,2025-10-01,1.0,0.0,1.0,0.0,10.0,5.9,7.5,100,0,100,0,0.0,0.0,13.7,11.1,310,19.8,1008.9,true,GOOD,"",2025-11-19T04:16:43.272Z,2025-11-19T04:16:43.272Z
DARLSF,Darlington Point,2025-10-01T06:00:00.000Z,2025-10-01T06:00:00.000Z,2025-10-01,0.0,0.0,0.0,0.0,11.1,5.6,7.9,0,0,0,0,0.0,0.0,11.1,12.0,287,20.9,1009.7,true,GOOD,"",2025-11-19T04:16:43.272Z,2025-11-19T04:16:43.272Z
EMERASF,Emerald,2025-10-01T06:00:00.000Z,2025-10-01T06:00:00.000Z,2025-10-01,1.0,0.0,1.0,0.0,17.7,16.6,16.9,71,0,0,71,0.0,0.0,21.6,8.0,48,14.8,1013.0,true,GOOD,"",2025-11-19T04:16:43.272Z,2025-11-19T04:16:43.272Z
FINLEYSF,Finley,2025-10-01T06:00:00.000Z,2025-10-01T06:00:00.000Z,2025-10-01,0.0,0.0,0.0,0.0,8.9,5.5,6.8,18,18,0,0,0.0,0.0,12.1,13.0,301,22.7,1008.5,true,GOOD,"",2025-11-19T04:16:43.272Z,2025-11-19T04:16:43.272Z
HUGSF,Hughenden,2025-10-01T06:00:00.000Z,2025-10-01T06:00:00.000Z,2025-10-01,0.0,0.0,0.0,0.0,21.9,7.7,13.9,48,0,0,48,0.0,0.0,21.8,8.3,49,13.7,1011.4,true,GOOD,"",2025-11-19T04:16:43.272Z,2025-11-19T04:16:43.272Z
LIMOSF2,Limondale 2,2025-10-01T06:00:00.000Z,2025-10-01T06:00:00.000Z,2025-10-01,0.0,0.0,0.0,0.0,9.6,6.4,7.6,0,0,0,0,0.0,0.0,12.6,15.7,280,27.4,1010.2,true,GOOD,"",2025-11-19T04:16:43.272Z,2025-11-19T04:16:43.272Z
WRSF1,White Rock Solar Farm,2025-10-01T06:00:00.000Z,2025-10-01T06:00:00.000Z,2025-10-01,6.0,1.0,5.0,12.4,14.9,10.6,12.1,97,0,77,86,0.0,0.0,19.3,14.1,350,30.6,1013.1,true,GOOD,"",2025-11-19T04:16:43.272Z,2025-11-19T04:16:43.272Z
YATSF1,Yatpool,2025-10-01T06:00:00.000Z,2025-10-01T06:00:00.000Z,2025-10-01,0.0,0.0,0.0,0.0,9.7,6.7,7.8,1,0,1,0,0.0,0.0,11.6,15.1,279,26.6,1010.9,true,GOOD,"",2025-11-19T04:16:43.272Z,2025-11-19T04:16:43.272Z
AVLSF,Avonlie,2025-10-03T19:00:00.000Z,2025-10-03T19:00:00.000Z,2025-10-03,3.0,1.0,2.0,16.3,12.7,7.8,9.7,0,0,0,0,0.0,0.0,15.5,6.4,191,14.4,1022.7,true,GOOD,"",2025-11-19T04:16:43.272Z,2025-11-19T04:16:43.272Z
BOMENSF,Bomen,2025-10-03T19:00:00.000Z,2025-10-03T19:00:00.000Z,2025-10-03,1.0,0.0,1.0,0.0,11.1,7.7,8.9,1,1,0,0,0.0,0.0,15.7,6.9,265,17.6,1022.7,true,GOOD,"",2025-11-19T04:16:43.272Z,2025-11-19T04:16:43.272Z
DARLSF,Darlington Point,2025-10-03T19:00:00.000Z,2025-10-03T19:00:00.000Z,2025-10-03,4.0,1.0,3.0,15.3,15.0,6.5,10.2,0,0,0,0,0.0,0.0,15.8,9.2,168,16.2,1022.5,true,GOOD,"",2025-11-19T04:16:43.272Z,2025-11-19T04:16:43.272Z
EMERASF,Emerald,2025-10-03T19:00:00.000Z,2025-10-03T19:00:00.000Z,2025-10-03,0.0,0.0,0.0,0.0,25.4,-2.0,11.9,0,0,0,0,0.0,0.0,11.0,10.9,164,19.1,1016.9,true,GOOD,"",2025-11-19T04:16:43.272Z,2025-11-19T04:16:43.272Z
FINLEYSF,Finley,2025-10-03T19:00:00.000Z,2025-10-03T19:00:00.000Z,2025-10-03,5.0,1.0,4.0,14.3,14.3,6.9,10.0,1,0,1,0,0.0,0.0,15.6,7.5,224,11.2,1022.1,true,GOOD,"",2025-11-19T04:16:43.272Z,2025-11-19T04:16:43.272Z
HUGSF,Hughenden,2025-10-03T19:00:00.000Z,2025-10-03T19:00:00.000Z,2025-10-03,6.0,2.0,4.0,27.1,28.0,-5.7,11.8,0,0,0,0,0.0,0.0,7.6,14.7,172,23.0,1015.4,true,GOOD,"",2025-11-19T04:16:43.272Z,2025-11-19T04:16:43.272Z
LIMOSF2,Limondale 2,2025-10-03T19:00:00.000Z,2025-10-03T19:00:00.000Z,2025-10-03,10.0,4.0,6.0,48.0,15.7,8.7,11.5,8,8,0,0,0.0,0.0,16.3,8.5,176,13.0,1023.1,true,GOOD,"",2025-11-19T04:16:43.272Z,2025-11-19T04:16:43.272Z
WRSF1,White Rock Solar Farm,2025-10-03T19:00:00.000Z,2025-10-03T19:00:00.000Z,2025-10-03,0.0,0.0,0.0,0.0,11.4,2.3,6.6,0,0,0,0,0.0,0.0,8.5,9.3,227,24.5,1020.3,true,GOOD,"",2025-11-19T04:16:43.272Z,2025-11-19T04:16:43.272Z
YATSF1,Yatpool,2025-10-03T19:00:00.000Z,2025-10-03T19:00:00.000Z,2025-10-03,16.0,7.0,9.0,75.3,16.6,8.9,12.0,5,5,0,0,0.0,86.66,15.3,4.1,221,8.6,1023.3,true,GOOD,"",2025-11-19T04:16:43.272Z,2025-11-19T04:16:43.272Z
AVLSF,Avonlie,2025-10-06T22:00:00.000Z,2025-10-06T22:00:00.000Z,2025-10-06,0.0,0.0,0.0,0.0,9.2,6.6,7.5,94,0,0,94,0.0,0.0,12.8,5.6,285,7.9,1019.0,true,GOOD,"",2025-11-19T04:16:43.272Z,2025-11-19T04:16:43.272Z
BOMENSF,Bomen,2025-10-06T22:00:00.000Z,2025-10-06T22:00:00.000Z,2025-10-06,0.0,0.0,0.0,0.0,8.8,8.4,8.5,73,0,0,73,0.0,0.0,11.4,5.5,289,9.7,1019.0,true,GOOD,"",2025-11-19T04:16:43.272Z,2025-11-19T04:16:43.272Z
DARLSF,Darlington Point,2025-10-06T22:00:00.000Z,2025-10-06T22:00:00.000Z,2025-10-06,0.0,0.0,0.0,0.0,9.8,6.5,7.8,89,0,0,89,0.0,0.0,15.0,4.7,332,7.9,1019.1,true,GOOD,"",2025-11-19T04:16:43.272Z,2025-11-19T04:16:43.272Z
EMERASF,Emerald,2025-10-06T22:00:00.000Z,2025-10-06T22:00:00.000Z,2025-10-06,0.0,0.0,0.0,0.0,22.4,9.5,14.8,0,0,0,0,0.0,0.0,13.0,12.1,27,27.7,1019.0,true,GOOD,"",2025-11-19T04:16:43.272Z,2025-11-19T04:16:43.272Z
FINLEYSF,Finley,2025-10-06T22:00:00.000Z,2025-10-06T22:00:00.000Z,2025-10-06,0.0,0.0,0.0,0.0,10.6,3.0,6.5,7,7,0,0,0.0,0.0,9.8,9.4,259,16.9,1018.6,true,GOOD,"",2025-11-19T04:16:43.272Z,2025-11-19T04:16:43.272Z
HUGSF,Hughenden,2025-10-06T22:00:00.000Z,2025-10-06T22:00:00.000Z,2025-10-06,0.0,0.0,0.0,0.0,25.6,10.1,16.5,0,0,0,0,0.0,0.0,17.6,14.2,64,22.3,1016.4,true,GOOD,"",2025-11-19T04:16:43.272Z,2025-11-19T04:16:43.272Z
LIMOSF2,Limondale 2,2025-10-06T22:00:00.000Z,2025-10-06T22:00:00.000Z,2025-10-06,0.0,0.0,0.0,0.0,13.2,8.4,10.2,100,100,0,5,0.0,0.0,12.8,1.3,45,2.2,1019.0,true,GOOD,"",2025-11-19T04:16:43.272Z,2025-11-19T04:16:43.272Z
WRSF1,White Rock Solar Farm,2025-10-06T22:00:00.000Z,2025-10-06T22:00:00.000Z,2025-10-06,0.0,0.0,0.0,0.0,16.2,4.2,9.8,100,0,0,100,0.0,0.0,10.5,8.6,306,16.9,1017.0,true,GOOD,"",2025-11-19T04:16:43.272Z,2025-11-19T04:16:43.272Z
YATSF1,Yatpool,2025-10-06T22:00:00.000Z,2025-10-06T22:00:00.000Z,2025-10-06,0.0,0.0,0.0,0.0,12.0,6.4,8.7,88,5,0,88,0.0,0.0,13.2,6.6,221,9.7,1019.4,true,GOOD,"",2025-11-19T04:16:43.272Z,2025-11-19T04:16:43.272Z
AVLSF,Avonlie,2025-10-04T02:00:00.000Z,2025-10-04T02:00:00.000Z,2025-10-04,0.0,0.0,0.0,0.0,6.4,4.4,5.1,0,0,0,0,0.0,0.0,12.1,4.8,323,6.5,1024.3,true,GOOD,"",2025-11-19T04:16:43.272Z,2025-11-19T04:16:43.272Z
BOMENSF,Bomen,2025-10-04T02:00:00.000Z,2025-10-04T02:00:00.000Z,2025-10-04,0.0,0.0,0.0,0.0,7.1,4.2,5.3,0,0,0,0,0.0,0.0,11.5,1.7,193,3.6,1024.5,true,GOOD,"",2025-11-19T04:16:43.272Z,2025-11-19T04:16:43.272Z
DARLSF,Darlington Point,2025-10-04T02:00:00.000Z,2025-10-04T02:00:00.000Z,2025-10-04,0.0,0.0,0.0,0.0,7.0,4.8,5.6,0,0,0,0,0.0,0.0,11.6,5.5,347,9.0,1024.3,true,GOOD,"",2025-11-19T04:16:43.272Z,2025-11-19T04:16:43.272Z
EMERASF,Emerald,2025-10-04T02:00:00.000Z,2025-10-04T02:00:00.000Z,2025-10-04,0.0,0.0,0.0,0.0,18.6,-2.1,8.9,0,0,0,0,0.0,0.0,8.9,16.1,144,29.2,1019.2,true,GOOD,"",2025-11-19T04:16:43.272Z,2025-11-19T04:16:43.272Z
FINLEYSF,Finley,2025-10-04T02:00:00.000Z,2025-10-04T02:00:00.000Z,2025-10-04,0.0,0.0,0.0,0.0,7.8,5.8,6.5,0,0,0,0,0.0,0.0,12.7,2.6,168,5.0,1024.1,true,GOOD,"",2025-11-19T04:16:43.272Z,2025-11-19T04:16:43.272Z
HUGSF,Hughenden,2025-10-04T02:00:00.000Z,2025-10-04T02:00:00.000Z,2025-10-04,0.0,0.0,0.0,0.0,20.6,-4.1,9.2,0,0,0,0,0.0,0.0,9.6,12.6,128,22.7,1016.7,true,GOOD,"",2025-11-19T04:16:43.272Z,2025-11-19T04:16:43.272Z
LIMOSF2,Limondale 2,2025-10-04T02:00:00.000Z,2025-10-04T02:00:00.000Z,2025-10-04,0.0,0.0,0.0,0.0,8.7,6.8,7.4,0,0,0,0,0.0,0.0,12.7,4.3,175,7.9,1024.4,true,GOOD,"",2025-11-19T04:16:43.272Z,2025-11-19T04:16:43.272Z
WRSF1,White Rock Solar Farm,2025-10-04T02:00:00.000Z,2025-10-04T02:00:00.000Z,2025-10-04,0.0,0.0,0.0,0.0,7.0,3.1,4.7,0,0,0,0,0.0,0.0,8.3,9.7,170,19.4,1021.5,true,GOOD,"",2025-11-19T04:16:43.272Z,2025-11-19T04:16:43.272Z
YATSF1,Yatpool,2025-10-04T02:00:00.000Z,2025-10-04T02:00:00.000Z,2025-10-04,0.0,0.0,0.0,0.0,9.2,7.0,7.8,0,0,0,0,0.0,0.0,11.1,6.1,109,7.9,1024.3,true,GOOD,"",2025-11-19T04:16:43.272Z,2025-11-19T04:16:43.272Z
AVLSF,Avonlie,2025-10-05T18:00:00.000Z,2025-10-05T18:00:00.000Z,2025-10-05,117.0,78.0,39.0,458.6,22.8,7.3,14.1,37,0,0,37,0.0,3303.78,15.7,8.9,353,13.3,1012.4,true,GOOD,"",2025-11-19T04:16:43.272Z,2025-11-19T04:16:43.272Z
BOMENSF,Bomen,2025-10-05T18:00:00.000Z,2025-10-05T18:00:00.000Z,2025-10-05,107.0,71.0,36.0,432.5,20.8,10.8,14.7,88,0,0,88,0.0,3106.5,17.2,8.4,11,13.0,1013.5,true,GOOD,"",2025-11-19T04:16:43.272Z,2025-11-19T04:16:43.272Z
DARLSF,Darlington Point,2025-10-05T18:00:00.000Z,2025-10-05T18:00:00.000Z,2025-10-05,125.0,83.0,42.0,475.2,24.1,5.0,13.8,48,0,0,48,0.0,3449.88,14.5,8.1,348,16.9,1012.0,true,GOOD,"",2025-11-19T04:16:43.272Z,2025-11-19T04:16:43.272Z
EMERASF,Emerald,2025-10-05T18:00:00.000Z,2025-10-05T18:00:00.000Z,2025-10-05,94.0,61.0,33.0,372.7,27.2,7.5,16.0,0,0,0,0,0.0,2759.83,13.5,13.7,65,33.8,1018.3,true,GOOD,"",2025-11-19T04:16:43.272Z,2025-11-19T04:16:43.272Z
